t_s,i_A,omega_rad_s,Vdc_V,Wsource_J,Wline_J,Wload_J,Wchopper_J,Wconverter_J,Wcopper_J,Wviscous_J,Wcoulomb_J,Wfess_J,Wcharge_J,Wreturn_J,Wtraction_J,Wregen_J,Qcurrent_As,Wchannel_J,Wdiode_J,Wtransition_J,Woss_J,Wgate_J,Wterminal_J,Wem_J,Pload_W,iref_A,Preq_W,Ptarget_W,high_block,low_block,gate_blocked,duty,integrator_V,cycle_mean_i_A,rpm,Erot_J,Emag_J,Ecap_J,residual_J,restore_active,connected,speed_integrator_A,recovery_credit_J,credited_J,spent_J,leaked_J,initial_bus_V
0,0,314.15926535897898,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7085357183384,0,0,0,0,0,0,0.27557830294647301,0,0,3000,32076.214303540401,0,129.96000000000001,0,0,1,0,0,0,0,0,57
0.01,-4.0881220984532299e-05,314.15086178098898,56.950723616385602,0.032646228683110901,1.9252186012919699e-05,0.25708535718338399,0,0.000143344035544504,1.37758454560794e-06,1.48040105944325,0.23561629766595399,0.00014480211595136301,0.00093667441563227705,0.00079187229968091398,0.25708535718338399,0,5.12357723490404e-09,3.3244596493197402e-08,1.17032477831848e-05,1.1607543164825499e-05,0,0.00012,1.45808040685903e-06,8.0484162331489997e-08,25.7085357183384,0,0,0,0,0,0,0.27580984526575503,-5.2795511732180001e-06,-1.42691641690106e-06,2999.91975174139,32074.498286264799,1.1698919604303199e-11,129.735396817197,9.8901575817933504e-10,0,1,0,-2.3002906177647699e-07,0,2.3002906177647699e-07,0,57
0.02,-4.0139939176800399e-05,314.14245839575398,56.913361497401503,0.119815817695236,0.000127076776942029,0.51417071436677197,0,0.00028667287523797798,2.7543459845379502e-06,2.9607229200489602,0.47122629272007799,0.00028934919526896002,0.0018729557014208901,0.00158360650615193,0.51417071436677197,0,-4.96859623924436e-09,6.6468723480874103e-08,2.3403567837363301e-05,2.3202838677134199e-05,0,0.000239999999999998,2.6763200309819201e-06,-7.8037232059021104e-08,25.7085357183384,0,0,0,0,0,0,0.27598340305177299,5.1198521855873898e-06,-6.6576431226267103e-07,2999.8395053234599,32072.782354251602,1.12785030198206e-11,129.565228677356,2.0172583603539401e-09,0,1,0,-3.8855045616698501e-07,0,3.8855045616698501e-07,0,57
0.029999999999999999,-3.97266700229749e-05,314.134055204888,56.885032876102997,0.24832595775180799,0.000357298596070026,0.77125607155015596,0,0.000429990023044854,4.1304605525390896e-06,4.4409655857678798,0.70682998530818497,0.00043397499280791,0.00280906266659631,0.0023750876737884002,0.77125607155015596,0,-9.2638041344592308e-09,9.9676691692927999e-08,3.51015764453138e-05,3.4788769907847002e-05,0,0.00036000000000000002,3.9849697630562596e-06,-1.45501836940993e-07,25.7085357183384,0,0,0,0,0,0,0.27611336273369003,9.5458164763006901e-06,-2.37825258701655e-07,2999.7592607616102,32071.066507826901,1.1047458177800399e-11,129.43627861261299,3.0449687216105299e-09,0,1,0,-4.5601506104895602e-07,0,4.5601506104895602e-07,0,57
0.10000000000000001,-3.9364557332686998e-05,314.07523830010001,56.679916985557099,2.2358731994319898,0.0087349279217239992,3.6811722865798702,0,0.00143290148940325,1.37461277653881e-05,14.800447120503,2.3558793766006199,0.0014464053447527201,0.0093561370349185893,0.0079097316901658599,3.6811722865798702,0,-1.54255654139912e-08,3.3170520999805499e-07,0.00011692622233282299,0.000115643561860422,0,0.0011999999999999799,1.35038553494779e-05,-2.42283262888776e-07,48.557249311469597,0,0,0,0,0,0,0.27706061467116599,1.5895156498116799e-05,2.2719643497004199e-07,2999.1976006935602,32059.057976811098,1.0846978617988799e-11,128.504519579586,1.00500159305739e-08,0,1,0,-6.1928154196617205e-07,0,6.1928154196617205e-07,0,57
0.20000000000000001,-3.9526659669639898e-05,313.99123063103099,56.406786864352902,8.0656616403092496,0.057183603151847499,10.696561889796101,0,0.00286477985766458,2.74351595861683e-05,29.5929779088478,4.7111286229751199,0.0028919729397766198,0.018692711632061799,0.0158007386922852,10.696561889796101,0,-1.5412924890748499e-08,6.6198782188998996e-07,0.00023364693528485299,0.000230470934557838,0,0.0023999999999997899,2.71930821120432e-05,-2.4208841062296602e-07,82.883435022554906,-0,-7.4570508517643903,-0,0,0,0,0.27832772782249099,1.58821311671311e-05,2.0167287736714801e-07,2998.3953865461599,32041.910196786499,1.09364977724768e-11,127.269024174422,2.0013068535717999e-08,0,1,0,-7.5447978190326404e-07,0,7.5447978190326404e-07,0,57
0.29999999999999999,-3.9687271449859201e-05,313.90724234605102,56.134027421364401,17.315391177334298,0.177070721817468,21.0528225774551,0,0.0042956808882768397,4.1069296377116902e-05,44.377596308656003,7.0657478845249999,0.0043364963618441003,0.028010254667037399,0.023673758305193301,21.0528225774551,0,-1.6161057666093799e-08,9.9090367646696493e-07,0.00035016890280072799,0.00034452108179964001,0,0.00359999999999961,4.0815473567279502e-05,-2.53833835394108e-07,117.284766667621,-0,-29.277806290847401,-0,0,0,0,0.27960535560026401,1.6653038892477598e-05,1.7874757505416199e-07,2997.59335750317,32024.7709591233,1.10255566059436e-11,126.04116138169999,2.9868928663745497e-08,0,1,0,-8.9695533388064895e-07,0,8.9695533388064895e-07,0,57
0.40000000000000002,-3.9855990453502299e-05,313.82327344074298,55.858570374905298,30.012541032083998,0.40178207844627301,34.7577836036034,0,0.0057255953703640597,5.4647807892791098e-05,59.154306261615403,9.4197373066143708,0.0057799769044374703,0.037308527636981899,0.0315285507325445,34.7577836036034,0,-1.69544919759285e-08,1.3184351724168999e-06,0.00046648862038401801,0.00045778831480762299,0,0.0047999999999994202,5.4381534073433902e-05,-2.6628493885696699e-07,151.77407773847401,-0,-51.314370007579001,-0,0,0,0,0.28090904594441302,1.7470627239311201e-05,1.50532636324643e-07,2996.7915135224298,32007.6402597456,1.1119499825207701e-11,124.80719537313,3.9693603071100403e-08,0,1,0,-1.04184058003764e-06,0,1.04184058003764e-06,0,57
0.5,-4.0036746340676999e-05,313.739323910645,55.580078256097103,46.199617142398999,0.76614107389291097,51.820449708518602,0,0.0071545098746608202,6.8169726197897705e-05,73.923111707530694,11.773097034574,0.0072224018328268897,0.046587212466187702,0.039364810633360801,51.820449708518602,0,-1.7687272808530101e-08,1.64455879782804e-06,0.00058260169687221702,0.00057026361899076804,0,0.0059999999999992299,6.7891958166121103e-05,-2.7777925236424003e-07,186.364201726961,-0,-73.593739512228396,-0,0,0,0,0.28224108941413201,1.8225715672080001e-05,1.1334432148566399e-07,2995.98985456131,31990.5180945703,1.1220587402833999e-11,123.565803958155,4.9775493948800398e-08,0,1,0,-1.18864419202828e-06,0,1.18864419202828e-06,0,57
0.59999999999999998,-4.0231679006706697e-05,313.65539375128799,55.298383305298898,65.922501017237195,1.3063882951673,72.251001118712296,0,0.0085824099294369103,8.1634014569190294e-05,88.684016584321199,14.1258272137012,0.0086637561673536898,0.055845967684809802,0.047182211517456003,72.251001118712296,0,-1.8325627050608599e-08,1.96924935878065e-06,0.00069850344084575796,0.00068193723923236002,0,0.0071999999999990396,8.1346237916829701e-05,-2.8778798247709702e-07,221.067972124845,-0,-96.129335576088707,-0,0,0,0,0.28360299426750502,1.8883502943194899e-05,6.52035134380102e-08,2995.1883805771399,31973.404459514499,1.13301159698908e-11,122.31644784719001,5.9924943229816603e-08,0,1,0,-1.3374373386266801e-06,0,1.3374373386266801e-06,0,57
