SceneID,MassFactorA,MassFactorB,ActualOffset_s,PrimaryFineMeanSOCSaving_kWh,PrimaryCoarseMeanSOCSaving_kWh,PrimarySceneMeanStepChange_kWh,MaxPrimarySOCStepChange_kWh,SecondaryFineMeanSOCSaving_kWh,SecondaryCoarseMeanSOCSaving_kWh,Complete
13,0.967453518334628,1.04948295784869,36.2823930064208,0.0488558515371906,0.0488561996748231,-3.48137632499856e-07,3.50459288256388e-07,0.0394327394127174,0.0394326504546783,1
14,1.01498882253914,0.991728385775589,35.1562624273495,0.0946797480480939,0.0946798101495148,-6.2101420894578e-08,6.21935214439873e-08,0.0982364992489408,0.0982365281198128,1
15,0.952950088240919,0.976762650258532,34.1108422570497,0.0565528811925731,0.0565498088746423,3.07231793073015e-06,3.07238104824137e-06,0.0634544374698862,0.0634513779420942,1
16,0.969182511577247,1.02257356051224,34.6875334448874,0.0472073910476567,0.04720601238607,1.37866158667066e-06,1.3787678767585e-06,0.049531134383912,0.0495297980436504,1
17,0.972609737565466,1.02163099604492,32.678702783287,0.0214477981522023,0.0214469384387641,8.59713438217113e-07,8.59725830082425e-07,0.0284479596053586,0.0284473699787711,1
18,0.971516429780642,0.994285481318809,36.0742209748866,0.10079471717917,0.100791976714142,2.74046502823921e-06,2.74046543324857e-06,0.089683033793392,0.0896804990412505,1
19,1.01655969385557,0.972852522982086,33.348707517396,0.0668289733360083,0.0668276943122379,1.27902377045075e-06,1.27905943259066e-06,0.0740578431148506,0.0740544553775848,1
20,1.02003335082065,1.02753444687129,34.0893774684957,0.0494737059318098,0.0494770103192792,-3.30438746942718e-06,3.30439583251518e-06,0.0545887398802947,0.0545890275761138,1
21,1.03972674981249,0.954561344995379,34.5755477962336,0.122829725929577,0.122826872608734,2.85332084359879e-06,2.85334033378604e-06,0.127354502617862,0.127354660078211,1
22,0.992500010241532,0.996594975523839,35.194058950833,0.0832646149497833,0.083261785266437,2.82968334630596e-06,2.829978299701e-06,0.0850386602290598,0.0850357446817398,1
23,1.00827996460684,0.958910451094479,37.3202163345362,0.16153322269686,0.161532411090242,8.11606618356109e-07,8.12942289485363e-07,0.13963427126945,0.139634189894757,1
24,0.979308940681402,0.957437281126019,33.4470750022023,0.0668672401075696,0.0668683660337592,-1.12592618961571e-06,1.12594005940991e-06,0.0740275325955153,0.0740275595293554,1
25,0.972820181345782,0.993121824352552,35.7745812525373,0.0862022628814429,0.0862030252897057,-7.6240826274443e-07,7.63243477308606e-07,0.087363575114999,0.0873636094396559,1
26,0.959226062686432,1.02934905614401,36.6386096454962,0.0553510815958731,0.0553514213365958,-3.39740722665738e-07,3.39955803951852e-07,0.0459302779261606,0.0459303210449349,1
27,0.977318962994568,1.0472496165834,35.0239723754052,0.0453704263252916,0.0453693986017782,1.02772351340263e-06,1.02781230282289e-06,0.0425426683471528,0.0425434041652508,1
28,1.04915536719423,0.995058532229575,34.3104806617763,0.0833192254084452,0.0833169535063192,2.27190212598316e-06,2.27194610147308e-06,0.0888321761995456,0.0888298701006605,1
29,0.998412913708196,1.01737496545411,32.9790340264478,0.0311454777384199,0.031146062712132,-5.84973712136616e-07,5.85013381737554e-07,0.0390993371333295,0.0390996958411662,1
30,0.96298594487229,0.962598131847791,36.5507252710754,0.119615449197639,0.119615539462899,-9.026526015532e-08,9.13966289317614e-08,0.107590661922863,0.107590301942146,1
31,1.04351477805159,0.979066445877143,34.6035071199357,0.103871752853472,0.103873534905226,-1.78205175416224e-06,1.7820605222596e-06,0.107421243921543,0.107422757643356,1
32,1.03935615365055,1.04275398172587,34.3856102044963,0.0476285460167318,0.0476284863034238,5.97133080759704e-08,5.97669753688024e-08,0.0534386875516191,0.0534388444755436,1
33,1.00507604793086,0.973817773216792,33.7570852066469,0.0738214235126051,0.0738239720007812,-2.54848817604625e-06,2.54852132286487e-06,0.0792719497408498,0.0792720855618469,1
34,1.02936555420951,0.962443910651507,35.9741101144552,0.147361895201527,0.14736244347035,-5.48268822342379e-07,5.48285768786627e-07,0.151262842415029,0.151263173253582,1
35,1.04560763472378,0.9745593780879,32.6658194124082,0.0446044821764033,0.0446035873685346,8.94807868689895e-07,8.948303360512e-07,0.0672336084276637,0.0672320714774131,1
36,0.967275873227579,0.975716919724607,33.8030283646322,0.0588523192457728,0.0588540203021424,-1.70105636954077e-06,1.70106807217962e-06,0.0652214986576212,0.0652224761777589,1
37,1.01686920364209,0.970381033695722,37.3746600189325,0.158872204369658,0.15887231257252,-1.08202861781592e-07,1.0867589139707e-07,0.133639963072184,0.133640051228468,1
