pair,valid_common_terminal,task_raw_source_difference_J,restore_extra_source_coupled_J,matched_source_reduction_J,matched_reduction_percent,bypass_total_source_J,coupled_total_source_J,final_store_mismatch_J,paired_energy_identity_error_J
nominal,1,76.6588037682704,-367.46918196831,444.127985736581,2.38184703306122,18646.368955347,18202.2409696104,3.44105743899092e-10,1.69056111887222e-07
friction_high,1,64.8602190412844,-406.864613240574,471.72483228186,1.573665126734,29976.1889787113,29504.4641464295,2.48818778914028e-08,3.11652762263748e-07
combined_corner,1,58.7564569283754,-450.56983906082,509.326295989194,1.46481187433562,34770.7651004813,34261.4388044921,3.17165032792666e-07,8.20590251304765e-09
pulse_combined,1,273.787120577672,-3055.67187152223,3329.4589920999,9.49617642148458,35061.0481979587,31731.5892058588,5.2057870680855e-07,1.39025926326752e-07
