pair,accepted_native_legacy_saving_J,new_saving_J,source_reduction_vs_legacy_J
nominal,130.416684287349,444.127985736581,313.711301449232
friction_high,196.276874994273,471.72483228186,275.447957287586
combined_corner,-1765.17164576347,509.326295989194,2274.49794175266
